text,label
Do you offer student discounts?,General Query
How to update my profile?,General Query
Can I pause my subscription?,General Query
I can't upload my documents,Technical Support
I was double charged on my card,Billing
Can I pause my subscription?,General Query
Why was I charged extra this month?,Billing
Password reset is not working,Account Issue
Loved the new app interface,Feedback
Can I pause my subscription?,General Query
Service is fast and smooth,Feedback
Can I pause my subscription?,General Query
Need help with my refund,Billing
Do you offer student discounts?,General Query
Great customer support!,Feedback
Loved the new app interface,Feedback
I can't upload my documents,Technical Support
I can't upload my documents,Technical Support
Service is fast and smooth,Feedback
Loved the new app interface,Feedback
Do you offer student discounts?,General Query
Great customer support!,Feedback
Can I pause my subscription?,General Query
App is not responding,Technical Support
Great customer support!,Feedback
Account suspended without reason,Account Issue
Need help with my refund,Billing
Service is fast and smooth,Feedback
I can’t access my account,Account Issue
I was double charged on my card,Billing
Account suspended without reason,Account Issue
I can’t access my account,Account Issue
Need help with my refund,Billing
I can’t access my account,Account Issue
App is not responding,Technical Support
App keeps crashing,Technical Support
Account suspended without reason,Account Issue
App is not responding,Technical Support
I was double charged on my card,Billing
I can’t access my account,Account Issue
Do you offer student discounts?,General Query
App keeps crashing,Technical Support
Account suspended without reason,Account Issue
Loved the new app interface,Feedback
Need help with my refund,Billing
App keeps crashing,Technical Support
App is not responding,Technical Support
Account suspended without reason,Account Issue
Do you offer student discounts?,General Query
Loved the new app interface,Feedback
App keeps crashing,Technical Support
Why was I charged extra this month?,Billing
I was double charged on my card,Billing
I can't upload my documents,Technical Support
App is not responding,Technical Support
Great customer support!,Feedback
I can’t access my account,Account Issue
Password reset is not working,Account Issue
Can I pause my subscription?,General Query
How to update my profile?,General Query
Can I pause my subscription?,General Query
Account suspended without reason,Account Issue
I was double charged on my card,Billing
I can’t access my account,Account Issue
App is not responding,Technical Support
Great customer support!,Feedback
Need help with my refund,Billing
Password reset is not working,Account Issue
I can’t access my account,Account Issue
Service is fast and smooth,Feedback
Loved the new app interface,Feedback
Loved the new app interface,Feedback
Loved the new app interface,Feedback
I can't upload my documents,Technical Support
Loved the new app interface,Feedback
Why was I charged extra this month?,Billing
Can I pause my subscription?,General Query
Password reset is not working,Account Issue
I was double charged on my card,Billing
Password reset is not working,Account Issue
App keeps crashing,Technical Support
I can't upload my documents,Technical Support
Do you offer student discounts?,General Query
Loved the new app interface,Feedback
Service is fast and smooth,Feedback
Need help with my refund,Billing
App keeps crashing,Technical Support
How to update my profile?,General Query
Need help with my refund,Billing
App is not responding,Technical Support
App is not responding,Technical Support
Can I pause my subscription?,General Query
App is not responding,Technical Support
App is not responding,Technical Support
Why was I charged extra this month?,Billing
Service is fast and smooth,Feedback
App keeps crashing,Technical Support
How to update my profile?,General Query
How to update my profile?,General Query
Do you offer student discounts?,General Query
